iter	Passed	Remaining
0	40	28255
1	83	29240
2	120	27904
3	162	28323
4	202	28180
5	241	27876
6	282	27956
7	318	27531
8	355	27288
9	396	27333
10	428	26828
11	472	27105
12	515	27259
13	555	27235
14	598	27319
15	640	27393
16	680	27345
17	720	27284
18	763	27367
19	807	27449
20	850	27496
21	897	27658
22	938	27638
23	979	27579
24	1018	27503
25	1058	27451
26	1099	27396
27	1141	27397
28	1187	27468
29	1233	27542
30	1279	27616
31	1319	27550
32	1358	27461
33	1396	27351
34	1434	27258
35	1473	27182
36	1509	27057
37	1548	26979
38	1593	27010
39	1637	27015
40	1681	27022
41	1719	26936
42	1757	26857
43	1795	26770
44	1835	26721
45	1877	26693
46	1915	26609
47	1938	26326
48	1976	26265
49	2015	26200
50	2056	26172
51	2099	26159
52	2141	26137
53	2184	26127
54	2224	26083
55	2263	26026
56	2301	25960
57	2339	25893
58	2377	25831
59	2416	25771
60	2453	25704
61	2490	25629
62	2530	25588
63	2573	25570
64	2617	25573
65	2660	25559
66	2701	25520
67	2740	25469
68	2776	25390
69	2817	25355
70	2858	25320
71	2898	25281
72	2939	25249
73	2980	25215
74	3023	25198
75	3066	25178
76	3109	25157
77	3152	25139
78	3199	25149
79	3248	25173
80	3308	25281
81	3352	25265
82	3396	25245
83	3442	25248
84	3486	25227
85	3527	25187
86	3569	25151
87	3611	25117
88	3652	25072
89	3693	25036
90	3735	24998
91	3776	24957
92	3815	24905
93	3864	24913
94	3912	24914
95	3951	24863
96	3992	24820
97	4032	24768
98	4075	24742
99	4116	24696
100	4157	24656
101	4199	24618
102	4239	24569
103	4293	24603
104	4340	24598
105	4383	24563
106	4426	24532
107	4469	24497
108	4511	24462
109	4551	24414
110	4592	24366
111	4633	24327
112	4675	24287
113	4716	24244
114	4758	24203
115	4798	24157
116	4837	24102
117	4880	24070
118	4919	24019
119	4960	23976
120	5000	23926
121	5039	23875
122	5080	23832
123	5120	23785
124	5161	23743
125	5202	23702
126	5244	23663
127	5284	23615
128	5324	23566
129	5365	23526
130	5406	23482
131	5445	23430
132	5484	23380
133	5523	23329
134	5562	23279
135	5601	23229
136	5641	23181
137	5680	23134
138	5723	23099
139	5764	23057
140	5803	23008
141	5844	22965
142	5889	22940
143	5934	22912
144	5973	22863
145	5996	22755
146	6036	22707
147	6074	22655
148	6112	22604
149	6152	22558
150	6191	22510
151	6231	22466
152	6268	22409
153	6306	22358
154	6344	22309
155	6382	22255
156	6420	22206
157	6458	22154
158	6497	22107
159	6537	22063
160	6577	22019
161	6616	21973
162	6655	21926
163	6695	21882
164	6737	21845
165	6778	21807
166	6820	21768
167	6864	21737
168	6903	21691
169	6943	21646
170	6982	21600
171	7021	21554
172	7061	21510
173	7101	21466
174	7139	21419
175	7178	21372
176	7217	21326
177	7255	21278
178	7292	21224
